127.0.0.1 - - [23/Mar/2016:15:47:11 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Mar/2016:15:47:21 +0200] "GET /inscorp/adminPanel.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:15:47:21 +0200] "GET /inscorp/login.jsp HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [23/Mar/2016:15:47:21 +0200] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Mar/2016:15:47:22 +0200] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Mar/2016:15:47:43 +0200] "GET /inscorp/adminPanel.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:15:47:43 +0200] "GET /inscorp/login.jsp HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [23/Mar/2016:15:47:49 +0200] "POST /inscorp/login HTTP/1.1" 500 1452
0:0:0:0:0:0:0:1 - - [23/Mar/2016:15:47:58 +0200] "POST /inscorp/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2016:15:47:58 +0200] "GET /inscorp/adminPanel.jsp HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [23/Mar/2016:15:48:01 +0200] "GET /inscorp/adminPanelInsurers.jsp HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [23/Mar/2016:15:51:15 +0200] "GET /inscorp/adminPanelInsurers.jsp HTTP/1.1" 200 638
0:0:0:0:0:0:0:1 - - [23/Mar/2016:15:51:56 +0200] "GET /inscorp/adminPanelInsurers.jsp HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [23/Mar/2016:15:51:56 +0200] "GET /inscorp/style.css HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [23/Mar/2016:15:54:56 +0200] "GET /inscorp/adminPanelAddInsurer.jsp HTTP/1.1" 200 2057
0:0:0:0:0:0:0:1 - - [23/Mar/2016:15:56:28 +0200] "GET /inscorp/adminPanelAddInsurer.jsp HTTP/1.1" 200 2227
0:0:0:0:0:0:0:1 - - [23/Mar/2016:15:56:28 +0200] "GET /inscorp/style.css HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [23/Mar/2016:15:56:43 +0200] "GET /inscorp/adminPanelAddInsurer.jsp HTTP/1.1" 200 2227
0:0:0:0:0:0:0:1 - - [23/Mar/2016:15:56:43 +0200] "GET /inscorp/style.css HTTP/1.1" 200 2693
