127.0.0.1 - - [30/Mar/2016:16:40:08 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Mar/2016:16:41:35 +0300] "GET /inscorp/login.jsp HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [30/Mar/2016:16:41:35 +0300] "GET /inscorp/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2016:16:41:36 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [30/Mar/2016:16:41:36 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [30/Mar/2016:16:41:49 +0300] "POST /inscorp/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2016:16:41:49 +0300] "GET /inscorp/insurer.jsp HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [30/Mar/2016:16:41:53 +0300] "GET /inscorp/insurerAddNewKasko.jsp HTTP/1.1" 200 11854
0:0:0:0:0:0:0:1 - - [30/Mar/2016:16:41:53 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Mar/2016:16:41:54 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Mar/2016:16:52:07 +0300] "GET /inscorp/insurerAddNewKasko.jsp HTTP/1.1" 200 12003
0:0:0:0:0:0:0:1 - - [30/Mar/2016:16:52:07 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Mar/2016:16:52:07 +0300] "GET /inscorp/style.css HTTP/1.1" 200 2757
0:0:0:0:0:0:0:1 - - [30/Mar/2016:16:52:07 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Mar/2016:16:53:25 +0300] "GET /inscorp/insurerAddNewKasko.jsp HTTP/1.1" 200 12003
0:0:0:0:0:0:0:1 - - [30/Mar/2016:16:53:25 +0300] "GET /inscorp/style.css HTTP/1.1" 200 2757
0:0:0:0:0:0:0:1 - - [30/Mar/2016:16:53:25 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Mar/2016:16:53:26 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Mar/2016:16:53:37 +0300] "GET /inscorp/insurerAddNewKasko.jsp HTTP/1.1" 200 12023
0:0:0:0:0:0:0:1 - - [30/Mar/2016:16:53:37 +0300] "GET /inscorp/style.css HTTP/1.1" 200 2757
0:0:0:0:0:0:0:1 - - [30/Mar/2016:16:53:37 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Mar/2016:16:53:37 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [30/Mar/2016:17:05:01 +0300] "GET /inscorp/login.jsp HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [30/Mar/2016:17:05:01 +0300] "GET /inscorp/style.css HTTP/1.1" 200 2757
