127.0.0.1 - - [06/Apr/2016:15:12:38 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [06/Apr/2016:15:12:55 +0300] "GET /inscorp/insusrerAddNewGO.jsp HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [06/Apr/2016:15:12:55 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [06/Apr/2016:15:12:55 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [06/Apr/2016:15:13:09 +0300] "GET /inscorp/insurerAddNewGO.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:15:13:09 +0300] "GET /inscorp/login.jsp HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [06/Apr/2016:15:13:09 +0300] "GET /inscorp/style.css HTTP/1.1" 200 2757
0:0:0:0:0:0:0:1 - - [06/Apr/2016:15:13:17 +0300] "POST /inscorp/login HTTP/1.1" 200 912
0:0:0:0:0:0:0:1 - - [06/Apr/2016:15:13:25 +0300] "POST /inscorp/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Apr/2016:15:13:25 +0300] "GET /inscorp/insurer.jsp HTTP/1.1" 200 835
0:0:0:0:0:0:0:1 - - [06/Apr/2016:15:13:27 +0300] "GET /inscorp/insurerAddNewGO.jsp HTTP/1.1" 200 1760
0:0:0:0:0:0:0:1 - - [06/Apr/2016:15:14:02 +0300] "GET /inscorp/insurerAddNewGO.jsp HTTP/1.1" 200 1767
0:0:0:0:0:0:0:1 - - [06/Apr/2016:15:14:02 +0300] "GET /inscorp/style.css HTTP/1.1" 200 2757
0:0:0:0:0:0:0:1 - - [06/Apr/2016:15:41:12 +0300] "GET /inscorp/insurerAddNewGO.jsp HTTP/1.1" 200 1881
0:0:0:0:0:0:0:1 - - [06/Apr/2016:15:41:12 +0300] "GET /inscorp/style.css HTTP/1.1" 200 2757
0:0:0:0:0:0:0:1 - - [06/Apr/2016:15:41:26 +0300] "GET /inscorp/insurerAddNewGO.jsp HTTP/1.1" 200 1881
0:0:0:0:0:0:0:1 - - [06/Apr/2016:15:41:26 +0300] "GET /inscorp/style.css HTTP/1.1" 200 2757
0:0:0:0:0:0:0:1 - - [06/Apr/2016:15:41:29 +0300] "GET /inscorp/insurerAddNewGO.jsp HTTP/1.1" 200 1881
0:0:0:0:0:0:0:1 - - [06/Apr/2016:15:41:29 +0300] "GET /inscorp/style.css HTTP/1.1" 200 2757
0:0:0:0:0:0:0:1 - - [06/Apr/2016:15:41:30 +0300] "GET /inscorp/insurerAddNewGO.jsp HTTP/1.1" 200 1881
0:0:0:0:0:0:0:1 - - [06/Apr/2016:15:41:30 +0300] "GET /inscorp/style.css HTTP/1.1" 200 2757
0:0:0:0:0:0:0:1 - - [06/Apr/2016:15:42:15 +0300] "GET /inscorp/insurerAddNewGO.jsp HTTP/1.1" 200 1871
0:0:0:0:0:0:0:1 - - [06/Apr/2016:15:42:15 +0300] "GET /inscorp/style.css HTTP/1.1" 200 2757
0:0:0:0:0:0:0:1 - - [06/Apr/2016:15:42:46 +0300] "GET /inscorp/insurerAddNewKasko.jsp HTTP/1.1" 200 12183
0:0:0:0:0:0:0:1 - - [06/Apr/2016:15:42:47 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
