127.0.0.1 - - [09/Apr/2016:20:00:06 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Apr/2016:20:01:09 +0300] "GET /inscorp/login.jsp HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [09/Apr/2016:20:01:10 +0300] "GET /inscorp/style.css HTTP/1.1" 200 2757
0:0:0:0:0:0:0:1 - - [09/Apr/2016:20:01:10 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/Apr/2016:20:01:10 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/Apr/2016:20:01:34 +0300] "POST /inscorp/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Apr/2016:20:01:35 +0300] "GET /inscorp/insurer.jsp HTTP/1.1" 200 835
0:0:0:0:0:0:0:1 - - [09/Apr/2016:20:01:39 +0300] "GET /inscorp/insurerAddNewGO.jsp HTTP/1.1" 200 8244
0:0:0:0:0:0:0:1 - - [09/Apr/2016:20:04:49 +0300] "GET /inscorp/insurerAddNewGO.jsp HTTP/1.1" 200 8926
0:0:0:0:0:0:0:1 - - [09/Apr/2016:20:04:49 +0300] "GET /inscorp/style.css HTTP/1.1" 200 2757
0:0:0:0:0:0:0:1 - - [09/Apr/2016:20:04:49 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [09/Apr/2016:20:04:50 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [09/Apr/2016:20:05:20 +0300] "GET /inscorp/insurerAddNewGO.jsp HTTP/1.1" 200 8932
0:0:0:0:0:0:0:1 - - [09/Apr/2016:20:05:20 +0300] "GET /inscorp/style.css HTTP/1.1" 200 2757
0:0:0:0:0:0:0:1 - - [09/Apr/2016:20:05:20 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [09/Apr/2016:20:05:20 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [09/Apr/2016:20:05:45 +0300] "GET /inscorp/insurerAddNewGO.jsp HTTP/1.1" 200 8922
0:0:0:0:0:0:0:1 - - [09/Apr/2016:20:05:45 +0300] "GET /inscorp/style.css HTTP/1.1" 200 2757
0:0:0:0:0:0:0:1 - - [09/Apr/2016:20:05:45 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [09/Apr/2016:20:05:46 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [09/Apr/2016:20:06:09 +0300] "GET /inscorp/insurerAddNewGO.jsp HTTP/1.1" 200 8924
0:0:0:0:0:0:0:1 - - [09/Apr/2016:20:06:09 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
