127.0.0.1 - - [24/May/2016:16:45:22 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [24/May/2016:16:45:50 +0300] "GET /inscorp/login.jsp HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [24/May/2016:16:45:51 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/May/2016:16:45:51 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/May/2016:16:46:02 +0300] "POST /inscorp/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/May/2016:16:46:02 +0300] "GET /inscorp/insurer.jsp HTTP/1.1" 200 1349
0:0:0:0:0:0:0:1 - - [24/May/2016:16:46:05 +0300] "GET /inscorp/searchGO.jsp HTTP/1.1" 200 1805
0:0:0:0:0:0:0:1 - - [24/May/2016:16:47:51 +0300] "GET /inscorp/searchGO.jsp HTTP/1.1" 200 1805
0:0:0:0:0:0:0:1 - - [24/May/2016:16:47:57 +0300] "GET /searchGOByID HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [24/May/2016:16:48:06 +0300] "GET /inscorp/searchGO.jsp HTTP/1.1" 200 1805
0:0:0:0:0:0:0:1 - - [24/May/2016:16:48:10 +0300] "GET /searchGOByID HTTP/1.1" 404 1018
0:0:0:0:0:0:0:1 - - [24/May/2016:16:52:55 +0300] "GET /inscorp/searchGO.jsp HTTP/1.1" 200 1816
0:0:0:0:0:0:0:1 - - [24/May/2016:16:52:55 +0300] "GET /inscorp/style.css HTTP/1.1" 200 2686
0:0:0:0:0:0:0:1 - - [24/May/2016:16:52:59 +0300] "GET /inscorp/insurerAddNewGO.jsp HTTP/1.1" 200 10539
0:0:0:0:0:0:0:1 - - [24/May/2016:16:52:59 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/May/2016:16:53:00 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/May/2016:16:53:02 +0300] "GET /inscorp/searchGO.jsp HTTP/1.1" 200 1816
0:0:0:0:0:0:0:1 - - [24/May/2016:16:53:05 +0300] "GET /inscorp/searchInsKaskoResult.jsp HTTP/1.1" 200 1361
0:0:0:0:0:0:0:1 - - [24/May/2016:16:53:10 +0300] "GET /inscorp/searchGO.jsp HTTP/1.1" 200 1816
0:0:0:0:0:0:0:1 - - [24/May/2016:16:54:38 +0300] "GET /inscorp/insurerAddNewGO.jsp HTTP/1.1" 200 10539
0:0:0:0:0:0:0:1 - - [24/May/2016:16:54:38 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/May/2016:16:54:38 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/May/2016:17:00:33 +0300] "GET /inscorp/insurerAddNewGO.jsp HTTP/1.1" 200 10558
0:0:0:0:0:0:0:1 - - [24/May/2016:17:00:33 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/May/2016:17:00:33 +0300] "GET /inscorp/style.css HTTP/1.1" 200 2686
0:0:0:0:0:0:0:1 - - [24/May/2016:17:00:33 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/May/2016:17:03:40 +0300] "GET /inscorp/insurerAddNewKasko.jsp HTTP/1.1" 200 13483
0:0:0:0:0:0:0:1 - - [24/May/2016:17:03:40 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/May/2016:17:03:41 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/May/2016:17:03:52 +0300] "GET /inscorp/insurerAddNewGO.jsp HTTP/1.1" 200 10610
0:0:0:0:0:0:0:1 - - [24/May/2016:17:03:52 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/May/2016:17:03:52 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/May/2016:17:16:26 +0300] "GET /inscorp/insurerAddNewGO.jsp HTTP/1.1" 200 10657
0:0:0:0:0:0:0:1 - - [24/May/2016:17:16:26 +0300] "GET /inscorp/style.css HTTP/1.1" 200 2686
0:0:0:0:0:0:0:1 - - [24/May/2016:17:16:26 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [24/May/2016:17:16:27 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
