127.0.0.1 - - [29/Jun/2016:20:27:48 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:06:01 +0300] "GET /inscorp/login.jsp HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:06:01 +0300] "GET /inscorp/style.css HTTP/1.1" 200 2781
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:06:02 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:06:02 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:06:25 +0300] "POST /inscorp/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:06:25 +0300] "GET /inscorp/insurer.jsp HTTP/1.1" 200 1685
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:06:44 +0300] "GET /inscorp/insurerAddNewKasko.jsp HTTP/1.1" 200 13267
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:06:44 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:06:44 +0300] "GET /inscorp/js/Kasko/setKaskoValue.js HTTP/1.1" 200 601
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:06:44 +0300] "GET /inscorp/js/validate.js HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:06:44 +0300] "GET /inscorp/js/Kasko/calendarKasko.js HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:06:44 +0300] "GET /inscorp/js/Kasko/setKaskoSettings.js HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:06:45 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:23:57 +0300] "GET /inscorp/insurerAddNewKasko.jsp HTTP/1.1" 200 13267
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:23:57 +0300] "GET /inscorp/style.css HTTP/1.1" 200 2781
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:23:57 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:23:57 +0300] "GET /inscorp/js/validate.js HTTP/1.1" 200 1882
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:23:57 +0300] "GET /inscorp/js/Kasko/calendarKasko.js HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:23:57 +0300] "GET /inscorp/js/Kasko/setKaskoSettings.js HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:23:57 +0300] "GET /inscorp/js/Kasko/setKaskoValue.js HTTP/1.1" 200 601
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:23:57 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:24:18 +0300] "GET /inscorp/insurerAddNewGO.jsp HTTP/1.1" 200 11946
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:24:18 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [29/Jun/2016:22:24:19 +0300] "GET /resources/demos/style.css HTTP/1.1" 404 1044
